reference_state,rule_id,state_support,rule_support,overlap,coverage,precision,effectiveness
Idle,0,2045,975,0,0.0,0.0,0.0
Idle,1,2045,1015,705,0.34474327628361856,0.6945812807881774,0.48933856008308635
Idle,2,2045,10421,1340,0.6552567237163814,0.12858650801266672,0.2902708630822429
Idle,3,2045,2975,0,0.0,0.0,0.0
Idle,4,2045,2965,0,0.0,0.0,0.0
Idle,5,2045,635,0,0.0,0.0,0.0
Fill,0,1927,975,975,0.5059678256357032,1.0,0.7113141539683455
Fill,1,1927,1015,310,0.16087182148417228,0.3054187192118227,0.22166024829673198
Fill,2,1927,10421,0,0.0,0.0,0.0
Fill,3,1927,2975,0,0.0,0.0,0.0
Fill,4,1927,2965,7,0.0036325895173845357,0.002360876897133221,0.002928497339654156
Fill,5,1927,635,635,0.32952776336274003,1.0,0.5740450882663661
HeatUp,0,3798,975,0,0.0,0.0,0.0
HeatUp,1,3798,1015,0,0.0,0.0,0.0
HeatUp,2,3798,10421,840,0.2211690363349131,0.08060646770943287,0.13352024110844227
HeatUp,3,3798,2975,0,0.0,0.0,0.0
HeatUp,4,3798,2965,2958,0.7788309636650869,0.9976391231028667,0.8814716329163395
HeatUp,5,3798,635,0,0.0,0.0,0.0
Hold,0,5479,975,0,0.0,0.0,0.0
Hold,1,5479,1015,0,0.0,0.0,0.0
Hold,2,5479,10421,5479,1.0,0.5257652816428365,0.7250967395064168
Hold,3,5479,2975,0,0.0,0.0,0.0
Hold,4,5479,2965,0,0.0,0.0,0.0
Hold,5,5479,635,0,0.0,0.0,0.0
Cool,0,3775,975,0,0.0,0.0,0.0
Cool,1,3775,1015,0,0.0,0.0,0.0
Cool,2,3775,10421,808,0.21403973509933774,0.07753574513002591,0.12882441673984213
Cool,3,3775,2975,2967,0.7859602649006623,0.9973109243697479,0.8853512061921932
Cool,4,3775,2965,0,0.0,0.0,0.0
Cool,5,3775,635,0,0.0,0.0,0.0
Discharge,0,1962,975,0,0.0,0.0,0.0
Discharge,1,1962,1015,0,0.0,0.0,0.0
Discharge,2,1962,10421,1954,0.9959225280326198,0.1875059975050379,0.432135912713229
Discharge,3,1962,2975,8,0.004077471967380225,0.002689075630252101,0.0033112883445146016
Discharge,4,1962,2965,0,0.0,0.0,0.0
Discharge,5,1962,635,0,0.0,0.0,0.0
